# fetched=2026-07-09
Country,Continent,ISO_Code,Level,GDLCODE,Region,Year,msch
"Brunei Darussalam",Asia/Pacific,BRN,National,BRNt,Total,1990,7.51
"Brunei Darussalam",Asia/Pacific,BRN,National,BRNt,Total,1991,7.62
"Brunei Darussalam",Asia/Pacific,BRN,National,BRNt,Total,1992,7.73
"Brunei Darussalam",Asia/Pacific,BRN,National,BRNt,Total,1993,7.84
"Brunei Darussalam",Asia/Pacific,BRN,National,BRNt,Total,1994,7.95
"Brunei Darussalam",Asia/Pacific,BRN,National,BRNt,Total,1995,8.06
"Brunei Darussalam",Asia/Pacific,BRN,National,BRNt,Total,1996,8.106
"Brunei Darussalam",Asia/Pacific,BRN,National,BRNt,Total,1997,8.152
"Brunei Darussalam",Asia/Pacific,BRN,National,BRNt,Total,1998,8.198
"Brunei Darussalam",Asia/Pacific,BRN,National,BRNt,Total,1999,8.244
"Brunei Darussalam",Asia/Pacific,BRN,National,BRNt,Total,2000,8.29
"Brunei Darussalam",Asia/Pacific,BRN,National,BRNt,Total,2001,8.328
"Brunei Darussalam",Asia/Pacific,BRN,National,BRNt,Total,2002,8.366
"Brunei Darussalam",Asia/Pacific,BRN,National,BRNt,Total,2003,8.404
"Brunei Darussalam",Asia/Pacific,BRN,National,BRNt,Total,2004,8.442
"Brunei Darussalam",Asia/Pacific,BRN,National,BRNt,Total,2005,8.48
"Brunei Darussalam",Asia/Pacific,BRN,National,BRNt,Total,2006,8.538
"Brunei Darussalam",Asia/Pacific,BRN,National,BRNt,Total,2007,8.596
"Brunei Darussalam",Asia/Pacific,BRN,National,BRNt,Total,2008,8.654
"Brunei Darussalam",Asia/Pacific,BRN,National,BRNt,Total,2009,8.712
"Brunei Darussalam",Asia/Pacific,BRN,National,BRNt,Total,2010,8.77
"Brunei Darussalam",Asia/Pacific,BRN,National,BRNt,Total,2011,8.82
"Brunei Darussalam",Asia/Pacific,BRN,National,BRNt,Total,2012,8.87
"Brunei Darussalam",Asia/Pacific,BRN,National,BRNt,Total,2013,8.92
"Brunei Darussalam",Asia/Pacific,BRN,National,BRNt,Total,2014,8.97
"Brunei Darussalam",Asia/Pacific,BRN,National,BRNt,Total,2015,9.02
"Brunei Darussalam",Asia/Pacific,BRN,National,BRNt,Total,2016,9.06
"Brunei Darussalam",Asia/Pacific,BRN,National,BRNt,Total,2017,9.1
"Brunei Darussalam",Asia/Pacific,BRN,National,BRNt,Total,2018,9.14
"Brunei Darussalam",Asia/Pacific,BRN,National,BRNt,Total,2019,9.18
"Brunei Darussalam",Asia/Pacific,BRN,National,BRNt,Total,2020,9.22
"Brunei Darussalam",Asia/Pacific,BRN,National,BRNt,Total,2021,9.282
"Brunei Darussalam",Asia/Pacific,BRN,National,BRNt,Total,2022,9.282
"Brunei Darussalam",Asia/Pacific,BRN,National,BRNt,Total,2023,9.282
Indonesia,Asia/Pacific,IDN,National,IDNt,Total,1990,3.22
Indonesia,Asia/Pacific,IDN,National,IDNt,Total,1991,3.493
Indonesia,Asia/Pacific,IDN,National,IDNt,Total,1992,3.766
Indonesia,Asia/Pacific,IDN,National,IDNt,Total,1993,4.039
Indonesia,Asia/Pacific,IDN,National,IDNt,Total,1994,4.313
Indonesia,Asia/Pacific,IDN,National,IDNt,Total,1995,4.586
Indonesia,Asia/Pacific,IDN,National,IDNt,Total,1996,4.859
Indonesia,Asia/Pacific,IDN,National,IDNt,Total,1997,5.132
Indonesia,Asia/Pacific,IDN,National,IDNt,Total,1998,5.405
Indonesia,Asia/Pacific,IDN,National,IDNt,Total,1999,5.678
Indonesia,Asia/Pacific,IDN,National,IDNt,Total,2000,5.951
Indonesia,Asia/Pacific,IDN,National,IDNt,Total,2001,6.224
Indonesia,Asia/Pacific,IDN,National,IDNt,Total,2002,6.498
Indonesia,Asia/Pacific,IDN,National,IDNt,Total,2003,6.771
Indonesia,Asia/Pacific,IDN,National,IDNt,Total,2004,7.044
Indonesia,Asia/Pacific,IDN,National,IDNt,Total,2005,7.317
Indonesia,Asia/Pacific,IDN,National,IDNt,Total,2006,7.59
Indonesia,Asia/Pacific,IDN,National,IDNt,Total,2007,7.02
Indonesia,Asia/Pacific,IDN,National,IDNt,Total,2008,7.07
Indonesia,Asia/Pacific,IDN,National,IDNt,Total,2009,7.31
Indonesia,Asia/Pacific,IDN,National,IDNt,Total,2010,7.41
Indonesia,Asia/Pacific,IDN,National,IDNt,Total,2011,7.51
Indonesia,Asia/Pacific,IDN,National,IDNt,Total,2012,7.607
Indonesia,Asia/Pacific,IDN,National,IDNt,Total,2013,7.703
Indonesia,Asia/Pacific,IDN,National,IDNt,Total,2014,7.8
Indonesia,Asia/Pacific,IDN,National,IDNt,Total,2015,7.91
Indonesia,Asia/Pacific,IDN,National,IDNt,Total,2016,7.98
Indonesia,Asia/Pacific,IDN,National,IDNt,Total,2017,8.24
Indonesia,Asia/Pacific,IDN,National,IDNt,Total,2018,8.16
Indonesia,Asia/Pacific,IDN,National,IDNt,Total,2019,8.36
Indonesia,Asia/Pacific,IDN,National,IDNt,Total,2020,8.56
Indonesia,Asia/Pacific,IDN,National,IDNt,Total,2021,8.697
Indonesia,Asia/Pacific,IDN,National,IDNt,Total,2022,8.697
Indonesia,Asia/Pacific,IDN,National,IDNt,Total,2023,8.697
Indonesia,Asia/Pacific,IDN,Subnat,IDNr116,Bali,1990,3.214
Indonesia,Asia/Pacific,IDN,Subnat,IDNr116,Bali,1991,3.487
Indonesia,Asia/Pacific,IDN,Subnat,IDNr116,Bali,1992,3.759
Indonesia,Asia/Pacific,IDN,Subnat,IDNr116,Bali,1993,4.032
Indonesia,Asia/Pacific,IDN,Subnat,IDNr116,Bali,1994,4.305
Indonesia,Asia/Pacific,IDN,Subnat,IDNr116,Bali,1995,4.577
Indonesia,Asia/Pacific,IDN,Subnat,IDNr116,Bali,1996,4.85
Indonesia,Asia/Pacific,IDN,Subnat,IDNr116,Bali,1997,5.123
Indonesia,Asia/Pacific,IDN,Subnat,IDNr116,Bali,1998,5.512
Indonesia,Asia/Pacific,IDN,Subnat,IDNr116,Bali,1999,5.906
Indonesia,Asia/Pacific,IDN,Subnat,IDNr116,Bali,2000,6.306
Indonesia,Asia/Pacific,IDN,Subnat,IDNr116,Bali,2001,6.709
Indonesia,Asia/Pacific,IDN,Subnat,IDNr116,Bali,2002,7.117
Indonesia,Asia/Pacific,IDN,Subnat,IDNr116,Bali,2003,7.529
Indonesia,Asia/Pacific,IDN,Subnat,IDNr116,Bali,2004,7.739
Indonesia,Asia/Pacific,IDN,Subnat,IDNr116,Bali,2005,7.945
Indonesia,Asia/Pacific,IDN,Subnat,IDNr116,Bali,2006,8.147
Indonesia,Asia/Pacific,IDN,Subnat,IDNr116,Bali,2007,7.45
Indonesia,Asia/Pacific,IDN,Subnat,IDNr116,Bali,2008,7.487
Indonesia,Asia/Pacific,IDN,Subnat,IDNr116,Bali,2009,7.725
Indonesia,Asia/Pacific,IDN,Subnat,IDNr116,Bali,2010,7.814
Indonesia,Asia/Pacific,IDN,Subnat,IDNr116,Bali,2011,7.904
Indonesia,Asia/Pacific,IDN,Subnat,IDNr116,Bali,2012,7.991
Indonesia,Asia/Pacific,IDN,Subnat,IDNr116,Bali,2013,8.076
Indonesia,Asia/Pacific,IDN,Subnat,IDNr116,Bali,2014,8.162
Indonesia,Asia/Pacific,IDN,Subnat,IDNr116,Bali,2015,8.262
Indonesia,Asia/Pacific,IDN,Subnat,IDNr116,Bali,2016,8.32
Indonesia,Asia/Pacific,IDN,Subnat,IDNr116,Bali,2017,8.575
Indonesia,Asia/Pacific,IDN,Subnat,IDNr116,Bali,2018,8.492
Indonesia,Asia/Pacific,IDN,Subnat,IDNr116,Bali,2019,8.701
Indonesia,Asia/Pacific,IDN,Subnat,IDNr116,Bali,2020,8.909
Indonesia,Asia/Pacific,IDN,Subnat,IDNr116,Bali,2021,9.052
Indonesia,Asia/Pacific,IDN,Subnat,IDNr116,Bali,2022,9.052
Indonesia,Asia/Pacific,IDN,Subnat,IDNr116,Bali,2023,9.052
Indonesia,Asia/Pacific,IDN,Subnat,IDNr109,"Bangka Belitung",1990,3.46
Indonesia,Asia/Pacific,IDN,Subnat,IDNr109,"Bangka Belitung",1991,3.754
Indonesia,Asia/Pacific,IDN,Subnat,IDNr109,"Bangka Belitung",1992,4.048
Indonesia,Asia/Pacific,IDN,Subnat,IDNr109,"Bangka Belitung",1993,4.341
Indonesia,Asia/Pacific,IDN,Subnat,IDNr109,"Bangka Belitung",1994,4.635
Indonesia,Asia/Pacific,IDN,Subnat,IDNr109,"Bangka Belitung",1995,4.928
Indonesia,Asia/Pacific,IDN,Subnat,IDNr109,"Bangka Belitung",1996,5.222
Indonesia,Asia/Pacific,IDN,Subnat,IDNr109,"Bangka Belitung",1997,5.515
Indonesia,Asia/Pacific,IDN,Subnat,IDNr109,"Bangka Belitung",1998,5.647
Indonesia,Asia/Pacific,IDN,Subnat,IDNr109,"Bangka Belitung",1999,5.773
Indonesia,Asia/Pacific,IDN,Subnat,IDNr109,"Bangka Belitung",2000,5.891
Indonesia,Asia/Pacific,IDN,Subnat,IDNr109,"Bangka Belitung",2001,6.004
